File,Original Sentence Count,Processed Sentence Count
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Dred Scott v Sandford  The Civil War era (1844-1877)  US history  Khan Academy_expanded.txt,162,160
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/McDonald v Chicago  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,100,103
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Marbury v Madison  US government and civics  Khan Academy_expanded.txt,164,164
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Article III of the Constitution  US Government and Politics  Khan Academy_expanded.txt,137,137
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The First Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,145,143
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Preamble to the Constitution  US Government and Politics  Khan Academy_expanded.txt,106,106
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Baker v Carr  Interactions among branches of government  US government and civics  Khan Academy_expanded.txt,126,127
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Second Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,119,121
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Miranda v Arizona  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,142,142
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Article VII of the Constitution  US government and civics  Khan Academy_expanded.txt,174,174
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Fifth Amendment - takings clause  US government and civics  Khan Academy_expanded.txt,128,128
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Plessy v Ferguson  The Gilded Age (1865-1898)  US history  Khan Academy_expanded.txt,125,125
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Article V of the Constitution  US government and civics  Khan Academy_expanded.txt,171,277
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Citizens United v Federal Election Commission  US government and civics  Khan Academy_expanded.txt,146,146
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/McCulloch v Maryland  Foundations of American democracy  US government and civics  Khan Academy_expanded.txt,172,172
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Article I of the Constitution  US Government and Politics  Khan Academy_expanded.txt,115,115
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Sixth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,139,145
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Tenth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,120,114
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Fourth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,129,129
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Unadopted amendments to the Bill of Rights  US government and civics  Khan Academy_expanded.txt,154,153
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Third Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,134,134
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Ninth Amendment  US government and civics  Khan Academy_expanded.txt,118,118
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Article IV of the Constitution  US government and civics  Khan Academy_expanded.txt,119,120
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Article II of the Constitution  US Government and Politics  Khan Academy_expanded.txt,148,148
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Eighth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,183,184
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Roe v Wade  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,112,111
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Fifth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,127,126
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/The Seventh Amendment  US government and civics  Khan Academy_expanded.txt,108,106
Khan Academy/The National Constitution Center | US government and civics | Khan Academy/Article VI of the Constitution  US government and civics  Khan Academy_expanded.txt,128,128
Khan Academy/US Constitution and Supreme Court/Brown v Board of Education of Topeka  US government and civics  Khan Academy_expanded.txt,110,112
Khan Academy/US Constitution and Supreme Court/McDonald v Chicago  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,100,103
Khan Academy/US Constitution and Supreme Court/Marbury v Madison  US government and civics  Khan Academy_expanded.txt,164,164
Khan Academy/US Constitution and Supreme Court/Article III of the Constitution  US Government and Politics  Khan Academy_expanded.txt,137,137
Khan Academy/US Constitution and Supreme Court/The First Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,145,145
Khan Academy/US Constitution and Supreme Court/The Preamble to the Constitution  US Government and Politics  Khan Academy_expanded.txt,106,106
Khan Academy/US Constitution and Supreme Court/Baker v Carr  Interactions among branches of government  US government and civics  Khan Academy_expanded.txt,126,123
Khan Academy/US Constitution and Supreme Court/The Second Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,119,119
Khan Academy/US Constitution and Supreme Court/Miranda v Arizona  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,142,140
Khan Academy/US Constitution and Supreme Court/Article VII of the Constitution  US government and civics  Khan Academy_expanded.txt,174,174
Khan Academy/US Constitution and Supreme Court/Article V of the Constitution  US government and civics  Khan Academy_expanded.txt,171,231
Khan Academy/US Constitution and Supreme Court/Citizens United v Federal Election Commission  US government and civics  Khan Academy_expanded.txt,146,146
Khan Academy/US Constitution and Supreme Court/McCulloch v Maryland  Foundations of American democracy  US government and civics  Khan Academy_expanded.txt,172,166
Khan Academy/US Constitution and Supreme Court/Article I of the Constitution  US Government and Politics  Khan Academy_expanded.txt,115,117
Khan Academy/US Constitution and Supreme Court/The Sixth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,139,139
Khan Academy/US Constitution and Supreme Court/The Tenth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,120,120
Khan Academy/US Constitution and Supreme Court/The Fourth Amendment  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,129,129
Khan Academy/US Constitution and Supreme Court/Article IV of the Constitution  US government and civics  Khan Academy_expanded.txt,119,119
Khan Academy/US Constitution and Supreme Court/Article II of the Constitution  US Government and Politics  Khan Academy_expanded.txt,148,148
Khan Academy/US Constitution and Supreme Court/The Eighth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,155,153
Khan Academy/US Constitution and Supreme Court/Roe v Wade  Civil liberties and civil rights  US government and civics  Khan Academy_expanded.txt,112,119
Khan Academy/US Constitution and Supreme Court/The Fifth Amendment  The National Constitution Center  US government and civics  Khan Academy_expanded.txt,127,127
Khan Academy/US Constitution and Supreme Court/Article VI of the Constitution  US government and civics  Khan Academy_expanded.txt,128,128
Khan Academy/Interactions among branches of government | US government and/Senate checks on presidential appointments  US government and civics  Khan Academy_expanded.txt,32,32
Khan Academy/Interactions among branches of government | US government and/Judicial activism and judicial restraint  US government and civics  Khan Academy_expanded.txt,63,63
Khan Academy/Interactions among branches of government | US government and/Introduction to the federal bureaucracy  US government and civics  Khan Academy_expanded.txt,53,53
Khan Academy/Interactions among branches of government | US government and/Senate confirmation as a check on the judicial branch  US government and civics  Khan Academy_expanded.txt,32,32
Khan Academy/Interactions among branches of government | US government and/Gerrymandering  US government and civics  US government and civics  Khan Academy_expanded.txt,57,59
Khan Academy/Interactions among branches of government | US government and/Marbury v Madison  US government and civics  Khan Academy_expanded.txt,164,164
Khan Academy/Interactions among branches of government | US government and/Article III of the Constitution  US Government and Politics  Khan Academy_expanded.txt,137,137
Khan Academy/Interactions among branches of government | US government and/Earmarks pork barrel projects and logrolling  US government and civics  Khan Academy_expanded.txt,77,77
Khan Academy/Interactions among branches of government | US government and/Baker v Carr  Interactions among branches of government  US government and civics  Khan Academy_expanded.txt,126,124
Khan Academy/Interactions among branches of government | US government and/Representatives as delegates trustees and politicos  US government and civics  Khan Academy_expanded.txt,64,64
Khan Academy/Interactions among branches of government | US government and/Increased politicization of the Supreme Court  AP US Government and Politics  Khan Academy_expanded.txt,61,37
Khan Academy/Interactions among branches of government | US government and/Discretionary and rulemaking authority of the federal bureaucracy  Khan Academy_expanded.txt,46,46
Khan Academy/Interactions among branches of government | US government and/Technology and presidential communication  US government and civics  Khan Academy_expanded.txt,42,42
Khan Academy/Interactions among branches of government | US government and/Discretionary and mandatory outlays of the US federal government  Khan Academy_expanded.txt,56,56
Khan Academy/Interactions among branches of government | US government and/Congressional oversight of the bureaucracy  US government and civics  Khan Academy_expanded.txt,55,55
Khan Academy/Interactions among branches of government | US government and/Expansion of presidential power  US government and civics  Khan Academy_expanded.txt,85,85
Khan Academy/Interactions among branches of government | US government and/Article I of the Constitution  US Government and Politics  Khan Academy_expanded.txt,115,115
Khan Academy/Interactions among branches of government | US government and/How a bill becomes a law  US government and civics  US government and civics  Khan Academy_expanded.txt,109,111
Khan Academy/Interactions among branches of government | US government and/The presidents bully pulpit  US government and civics  Khan Academy_expanded.txt,56,56
Khan Academy/Interactions among branches of government | US government and/Changes to the role of the presidency  AP US Government and Politics  Khan Academy_expanded.txt,68,68
Khan Academy/Interactions among branches of government | US government and/Formal and informal powers of the US president  US government and civics  Khan Academy_expanded.txt,56,56
Khan Academy/Interactions among branches of government | US government and/Presidential signing statements  US government and civics  Khan Academy_expanded.txt,44,46
Khan Academy/Interactions among branches of government | US government and/Executive orders  US government and civics  Khan Academy_expanded.txt,34,34
Khan Academy/Interactions among branches of government | US government and/Stare decisis and precedent in the Supreme Court  US government and civics  Khan Academy_expanded.txt,28,28
Khan Academy/Interactions among branches of government | US government and/The House of Representatives in comparison to the Senate  US government and civics  Khan Academy_expanded.txt,42,42
Khan Academy/Interactions among branches of government | US government and/State checks on the judicial branch  US government and civics  Khan Academy_expanded.txt,48,50
Khan Academy/Interactions among branches of government | US government and/Article II of the Constitution  US Government and Politics  Khan Academy_expanded.txt,148,148
Khan Academy/Interactions among branches of government | US government and/Iron triangles and issue networks  US government and civics  Khan Academy_expanded.txt,39,39
Khan Academy/Interactions among branches of government | US government and/Divided government and gridlock in the United States  Khan Academy_expanded.txt,54,54
Khan Academy/Interactions among branches of government | US government and/Senate filibusters unanimous consent and cloture  US government and civics  Khan Academy_expanded.txt,70,69
Khan Academy/Interactions among branches of government | US government and/Checks on the judicial branch  US government and civics  Khan Academy_expanded.txt,19,19
Khan Academy/Interactions among branches of government | US government and/Executive and legislative disagreements with the Supreme Court  Khan Academy_expanded.txt,37,37
Khan Academy/Period 1: 1491-1607 | AP US History/Origins of European exploration in the Americas_expanded.txt,71,71
Khan Academy/Period 1: 1491-1607 | AP US History/Consequences of Columbuss voyage on the Tainos and Europe_expanded.txt,98,98
Khan Academy/Period 1: 1491-1607 | AP US History/Native American societies before contact  Period 1 1491-1607  AP US History  Khan Academy_expanded.txt,30,30
Khan Academy/Period 1: 1491-1607 | AP US History/Meet Kim one of the creators of Khan Academys AP US History lessons_expanded.txt,14,14
Khan Academy/Period 1: 1491-1607 | AP US History/Thinking like a historian  The historians toolkit  US History  Khan Academy_expanded.txt,83,83
Khan Academy/Period 1: 1491-1607 | AP US History/How to read a document  The historians toolkit  US History  Khan Academy_expanded.txt,165,165
Khan Academy/Period 1: 1491-1607 | AP US History/Comparing European and Native American cultures  US history  Khan Academy_expanded.txt,56,56
Khan Academy/Period 1: 1491-1607 | AP US History/Christopher Columbus_expanded.txt,35,35
Khan Academy/Period 1: 1491-1607 | AP US History/Spanish colonization  Period 1 1491-1607  AP US History  Khan Academy_expanded.txt,61,61
Khan Academy/Period 1: 1491-1607 | AP US History/The Columbian Exchange_expanded.txt,54,54
Khan Academy/Period 1: 1491-1607 | AP US History/How to read a document part 2  The historians toolkit  US History  Khan Academy_expanded.txt,144,144
Khan Academy/Period 1: 1491-1607 | AP US History/Avoiding common mistakes in historical essays  US History  Khan Academy_expanded.txt,72,72
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/The age of empire  Rise to world power (1890-1945)  US History  Khan Academy_expanded.txt,101,99
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/1940 - Axis gains momentum in World War II  The 20th century  World history  Khan Academy_expanded.txt,69,69
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/World War I Homefront  Period 7 1890-1945  AP US History  Khan Academy_expanded.txt,52,54
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/1941 Axis momentum accelerates in WW2  The 20th century  World history  Khan Academy_expanded.txt,107,107
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/Shaping American national identity from 1890 to 1945  AP US History  Khan Academy_expanded.txt,62,60
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/United States enters World War I  The 20th century  World history  Khan Academy_expanded.txt,48,48
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/American progress in the Pacific in 1944  The 20th century  World history  Khan Academy_expanded.txt,60,60
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/The Progressives  Period 7 1890-1945  AP US History  Khan Academy_expanded.txt,54,54
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/1944 - Allies advance further in Europe  The 20th century  World history  Khan Academy_expanded.txt,53,53
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/1920s urbanization and immigration  Period 7 1890-1945  AP US History  Khan Academy_expanded.txt,35,35
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/Paris Peace Conference and Treaty of Versailles  The 20th century  World history  Khan Academy_expanded.txt,101,97
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/1945 - End of World War II  The 20th century  World history  Khan Academy_expanded.txt,83,83
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/Zimmermann Telegram  The 20th century  World history  Khan Academy_expanded.txt,46,32
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/Woodrow Wilsons Fourteen Points  The 20th century  World history  Khan Academy_expanded.txt,158,155
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/Beginning of World War II  The 20th century  World history  Khan Academy_expanded.txt,82,82
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/Blockades u-boats and sinking of the Lusitania  The 20th century  World history  Khan Academy_expanded.txt,104,104
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/1943 Axis losing in Europe  The 20th century  World history  Khan Academy_expanded.txt,25,25
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/More detail on the Treaty of Versailles and Germany  World history  Khan Academy_expanded.txt,51,51
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/1942 Tide turning in World War II in Europe  The 20th century  World history  Khan Academy_expanded.txt,41,41
Khan Academy/Period 7: 1890-1945 | AP US History | Khan Academy/World War II in the Pacific in 1942  The 20th century  World history  Khan Academy_expanded.txt,56,56
Khan Academy/High School Civics/Obligations of citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,39,39
Khan Academy/High School Civics/The naturalization process  Citizenship  High school civics  Khan Academy_expanded.txt,19,19
Khan Academy/High School Civics/Political rights of citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,33,33
Khan Academy/High School Civics/Civic engagement  Citizenship  High school civics  Khan Academy_expanded.txt,24,24
Khan Academy/High School Civics/Civil society  Citizenship  High school civics  Khan Academy_expanded.txt,27,27
Khan Academy/High School Civics/Citizenship in early America 1789-1830s  Citizenship  High school civics  Khan Academy_expanded.txt,44,38
Khan Academy/High School Civics/Who is eligible for naturalization  Citizenship  High school civics  Khan Academy_expanded.txt,89,89
Khan Academy/High School Civics/Economic rights of citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,41,41
Khan Academy/High School Civics/Responsibilities of citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,24,24
Khan Academy/High School Civics/Who are non-citizens_expanded.txt,50,50
Khan Academy/High School Civics/Models of citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,59,59
Khan Academy/High School Civics/Who gets citizenship at birth_expanded.txt,55,55
Khan Academy/High School Civics/Service in the United States  Citizenship  High school civics  Khan Academy_expanded.txt,28,26
Khan Academy/High School Civics/Citizenship in the US territories and District of Columbia  High school civics  Khan Academy_expanded.txt,45,45
Khan Academy/High School Civics/What is citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,53,53
Khan Academy/High School Civics/Challenges of naturalization  Citizenship  High school civics  Khan Academy_expanded.txt,28,28
Khan Academy/High School Civics/Citizenship in early America 1840s-1870s  Citizenship  High school civics  Khan Academy_expanded.txt,43,45
Khan Academy/High School Civics/The 19th Amendment and citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,33,33
Khan Academy/High School Civics/The Dred Scott case and citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,50,50
Khan Academy/High School Civics/Citizenship and voting rights of indigenous people  Citizenship  High school civics  Khan Academy_expanded.txt,48,50
Khan Academy/High School Civics/Civic life private life politics and government  Citizenship  High school civics  Khan Academy_expanded.txt,39,39
Khan Academy/High School Civics/Personal rights of citizenship  Citizenship  High school civics  Khan Academy_expanded.txt,43,44
Khan Academy/The historian's toolkit | US History/AP US history long essay example 1  US History  Khan Academy_expanded.txt,68,68
Khan Academy/The historian's toolkit | US History/AP US history long essay example 2  US History  Khan Academy_expanded.txt,78,78
Khan Academy/The historian's toolkit | US History/AP US history DBQ example 2  The historians toolkit  US History  Khan Academy_expanded.txt,57,57
Khan Academy/The historian's toolkit | US History/Thinking like a historian  The historians toolkit  US History  Khan Academy_expanded.txt,83,81
Khan Academy/The historian's toolkit | US History/AP US history multiple choice example 2  US History  Khan Academy_expanded.txt,43,43
Khan Academy/The historian's toolkit | US History/AP US history multiple choice example 1  US History  Khan Academy_expanded.txt,96,96
Khan Academy/The historian's toolkit | US History/How to read a document  The historians toolkit  US History  Khan Academy_expanded.txt,165,165
Khan Academy/The historian's toolkit | US History/AP US history DBQ example 4  The historians toolkit  US History  Khan Academy_expanded.txt,82,82
Khan Academy/The historian's toolkit | US History/AP US history DBQ example 1  The historians toolkit  US History  Khan Academy_expanded.txt,23,23
Khan Academy/The historian's toolkit | US History/AP US history short answer example 1  US History  Khan Academy_expanded.txt,52,52
Khan Academy/The historian's toolkit | US History/AP US history short answer example 2  US History  Khan Academy_expanded.txt,38,38
Khan Academy/The historian's toolkit | US History/AP US history long essay example 3  US History  Khan Academy_expanded.txt,84,84
Khan Academy/The historian's toolkit | US History/How to read a document part 2  The historians toolkit  US History  Khan Academy_expanded.txt,144,144
Khan Academy/The historian's toolkit | US History/Avoiding common mistakes in historical essays  US History  Khan Academy_expanded.txt,72,72
Khan Academy/The historian's toolkit | US History/AP US history DBQ example 3  The historians toolkit  US History  Khan Academy_expanded.txt,80,80
Khan Academy/American civics | US government and civics/Deficit and debt ceiling  American civics  US government and civics  Khan Academy_expanded.txt,118,118
Khan Academy/American civics | US government and civics/Medicare sustainability  American civics  US government and civics  Khan Academy_expanded.txt,69,69
Khan Academy/American civics | US government and civics/Introduction to the FAFSA  American civics  US government and civics  Khan Academy_expanded.txt,38,38
Khan Academy/American civics | US government and civics/Primaries and caucuses  American civics  US History  Khan Academy_expanded.txt,56,56
Khan Academy/American civics | US government and civics/Sal teaches Grover about the electoral college  US government and civics  Khan Academy_expanded.txt,71,71
Khan Academy/American civics | US government and civics/Pension obligations  American civics  US government and civics  Khan Academy_expanded.txt,86,86
Khan Academy/American civics | US government and civics/Illinois pension obligations  American civics  US government and civics  Khan Academy_expanded.txt,67,67
Khan Academy/American civics | US government and civics/Social security intro  American civics  US government and civics  Khan Academy_expanded.txt,19,19
Khan Academy/American civics | US government and civics/Governments financial condition  American civics  US government and civics  Khan Academy_expanded.txt,109,109
Khan Academy/American civics | US government and civics/Expansion of presidential power  American civics  US government and civics  Khan Academy_expanded.txt,100,100
Khan Academy/American civics | US government and civics/Presidential precedents of George Washington  US government and civics  Khan Academy_expanded.txt,101,101
Khan Academy/American civics | US government and civics/Electoral college  American civics  US History  Khan Academy_expanded.txt,101,101
Khan Academy/American civics | US government and civics/FICA tax  American civics  US government and civics  Khan Academy_expanded.txt,60,60
Khan Academy/American civics | US government and civics/The President as Commander-in-Chief  American civics  US government and civics  Khan Academy_expanded.txt,66,66
Khan Academy/American civics | US government and civics/SOPA and PIPA  American civics  US government and civics  Khan Academy_expanded.txt,69,69
Khan Academy/American civics | US government and civics/More fiscal cliff analysis  American civics  US government and civics  Khan Academy_expanded.txt,117,117
Khan Academy/American civics | US government and civics/Constitutional powers of the president  American civics  US government and civics  Khan Academy_expanded.txt,172,172
Khan Academy/American civics | US government and civics/History of the Republican Party  American civics  US government and civics  Khan Academy_expanded.txt,125,127
Khan Academy/American civics | US government and civics/The fiscal cliff  American civics  US government and civics  Khan Academy_expanded.txt,148,152
Khan Academy/American civics | US government and civics/PPACA or Obamacare  American civics  US History  Khan Academy_expanded.txt,54,54
Khan Academy/American civics | US government and civics/History of the Democratic Party  American civics  US government and civics  Khan Academy_expanded.txt,211,211
Khan Academy/Foundations in American Democracy/Multiple points of influence due to separation of powers and checks and balances  Khan Academy_expanded.txt,38,38
Khan Academy/Foundations in American Democracy/Separation of Powers and Checks and Balances_expanded.txt,47,47
Khan Academy/Foundations in American Democracy/Federalism in the United States  US government and civics  Khan Academy_expanded.txt,65,65
Khan Academy/Foundations in American Democracy/Federalist No 10 (part 2)  US government and civics  Khan Academy_expanded.txt,41,41
Khan Academy/Foundations in American Democracy/Article VII of the Constitution  US government and civics  Khan Academy_expanded.txt,174,174
Khan Academy/Foundations in American Democracy/Introduction to the public policy process  US government and civics  Khan Academy_expanded.txt,62,62
Khan Academy/Foundations in American Democracy/Constitutional compromises The Three-Fifths Compromise  US government and civics  Khan Academy_expanded.txt,42,42
Khan Academy/Foundations in American Democracy/Article V of the Constitution  US government and civics  Khan Academy_expanded.txt,171,181
Khan Academy/Foundations in American Democracy/Enumerated and implied powers of the US federal government  Khan Academy_expanded.txt,48,48
Khan Academy/Foundations in American Democracy/Constitutional compromises The Electoral College  US government and civics  Khan Academy_expanded.txt,29,29
Khan Academy/Foundations in American Democracy/The Articles of Confederation and Shays Rebellion_expanded.txt,70,70
Khan Academy/Foundations in American Democracy/Democratic ideals in the Declaration of Independence_expanded.txt,59,59
Khan Academy/Foundations in American Democracy/McCulloch v Maryland  Foundations of American democracy  US government and civics  Khan Academy_expanded.txt,172,167
Khan Academy/Foundations in American Democracy/Introduction to Democracy and its broad variations_expanded.txt,87,87
Khan Academy/Foundations in American Democracy/The Constitutional Convention  Period 3 1754-1800  AP US History  Khan Academy_expanded.txt,67,67
Khan Academy/Foundations in American Democracy/Democratic ideals of US government_expanded.txt,66,66
Khan Academy/Foundations in American Democracy/Federal and state powers and the Tenth and Fourteenth Amendments  Khan Academy_expanded.txt,29,29
Khan Academy/Foundations in American Democracy/Federalist No 10 (part 1)  US government and civics  Khan Academy_expanded.txt,55,55
Khan Academy/Foundations in American Democracy/The social contract  Foundations of American democracy  US government and civics  Khan Academy_expanded.txt,74,74
Khan Academy/Foundations in American Democracy/The impact of constitutional compromises on us today  US government and civics  Khan Academy_expanded.txt,82,82
Khan Academy/Foundations in American Democracy/Article IV of the Constitution  US government and civics  Khan Academy_expanded.txt,119,120
Khan Academy/Foundations in American Democracy/Impeachment  Foundations of American democracy  US government and civics  Khan Academy_expanded.txt,77,77
Khan Academy/Foundations in American Democracy/United States v  Lopez  US government and civics  Khan Academy_expanded.txt,32,32
Khan Academy/Foundations in American Democracy/Categorical grants mandates and the Commerce Clause  US government and civics  Khan Academy_expanded.txt,35,35
Khan Academy/Foundations in American Democracy/Foundations of American Democracy  -  Course Trailer_expanded.txt,22,22
Khan Academy/Foundations in American Democracy/Article VI of the Constitution  US government and civics  Khan Academy_expanded.txt,128,136
Khan Academy/Foundations in American Democracy/Democratic ideals in the preamble of the US Constitution_expanded.txt,34,30
Khan Academy/Rise to world power (1890-1945) | US History/The age of empire  Rise to world power (1890-1945)  US History  Khan Academy_expanded.txt,101,99
Khan Academy/Rise to world power (1890-1945) | US History/1940 - Axis gains momentum in World War II  The 20th century  World history  Khan Academy_expanded.txt,69,69
Khan Academy/Rise to world power (1890-1945) | US History/1941 Axis momentum accelerates in WW2  The 20th century  World history  Khan Academy_expanded.txt,107,107
Khan Academy/Rise to world power (1890-1945) | US History/United States enters World War I  The 20th century  World history  Khan Academy_expanded.txt,48,48
Khan Academy/Rise to world power (1890-1945) | US History/American progress in the Pacific in 1944  The 20th century  World history  Khan Academy_expanded.txt,60,60
Khan Academy/Rise to world power (1890-1945) | US History/1944 - Allies advance further in Europe  The 20th century  World history  Khan Academy_expanded.txt,53,53
Khan Academy/Rise to world power (1890-1945) | US History/Paris Peace Conference and Treaty of Versailles  The 20th century  World history  Khan Academy_expanded.txt,101,97
Khan Academy/Rise to world power (1890-1945) | US History/1945 - End of World War II  The 20th century  World history  Khan Academy_expanded.txt,83,82
Khan Academy/Rise to world power (1890-1945) | US History/Zimmermann Telegram  The 20th century  World history  Khan Academy_expanded.txt,46,32
Khan Academy/Rise to world power (1890-1945) | US History/Woodrow Wilsons Fourteen Points  The 20th century  World history  Khan Academy_expanded.txt,158,156
Khan Academy/Rise to world power (1890-1945) | US History/Beginning of World War II  The 20th century  World history  Khan Academy_expanded.txt,82,82
Khan Academy/Rise to world power (1890-1945) | US History/Blockades u-boats and sinking of the Lusitania  The 20th century  World history  Khan Academy_expanded.txt,104,104
Khan Academy/Rise to world power (1890-1945) | US History/1943 Axis losing in Europe  The 20th century  World history  Khan Academy_expanded.txt,25,25
Khan Academy/Rise to world power (1890-1945) | US History/More detail on the Treaty of Versailles and Germany  World history  Khan Academy_expanded.txt,51,51
Khan Academy/Rise to world power (1890-1945) | US History/1942 Tide turning in World War II in Europe  The 20th century  World history  Khan Academy_expanded.txt,41,41
Khan Academy/Rise to world power (1890-1945) | US History/World War II in the Pacific in 1942  The 20th century  World history  Khan Academy_expanded.txt,56,55
Khan Academy/The postwar era (1945-1980) | US History/Cuban Missile Crisis  The 20th century  World history  Khan Academy_expanded.txt,236,259
Khan Academy/The postwar era (1945-1980) | US History/Bay of Pigs Invasion  The 20th century  World history  Khan Academy_expanded.txt,139,150
Khan Academy/The postwar era (1945-1980) | US History/Korean War overview  The 20th century  World history  Khan Academy_expanded.txt,210,210
Khan Academy/The postwar era (1945-1980) | US History/Origins of the Cold War_expanded.txt,111,108
Khan Academy/The postwar era (1945-1980) | US History/Vietnam War  The 20th century  World history  Khan Academy_expanded.txt,131,123
Khan Academy/The postwar era (1945-1980) | US History/Communism  The 20th century  World history  Khan Academy_expanded.txt,181,181
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/Why do midterm congressional elections matter  US government and civics  Khan Academy_expanded.txt,10,10
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/How does voter turnout in midterms compare to presidential elections  Khan Academy_expanded.txt,11,12
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/Increased politicization of the Supreme Court  AP US Government and Politics  Khan Academy_expanded.txt,61,58
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/Does the presidents party usually gain or lose seats at the midterm elections  Khan Academy_expanded.txt,14,16
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/Changes to the role of the presidency  AP US Government and Politics  Khan Academy_expanded.txt,68,68
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/Why does your vote matter  US government and civics  Khan Academy_expanded.txt,29,29
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/Sal Khan & John Dickerson introduction  US government and civics  Khan Academy_expanded.txt,11,11
Khan Academy/Government & civics with CBS's John Dickerson | US government and civics | Khan Academy/Why study US history government and civics  US government and civics  Khan Academy_expanded.txt,14,14
